Timestamp,LinAccX,LinAccY,LinAccZ,QuatI,QuatJ,QuatK,QuatReal,Label
1772361034861,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034866,-0.02,0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361034871,-0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361034876,-0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034881,-0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034886,0.02,0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361034891,0.02,0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361034896,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034901,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034906,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034911,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034916,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034921,0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361034926,-0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034931,0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361034936,-0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034941,0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361034947,0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361034952,-0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034956,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034961,0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361034966,0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361034971,0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361034976,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034981,-0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361034987,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034992,-0.02,-0.05,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034997,0.02,0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035001,-0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035007,0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361035012,-0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035017,0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361035022,0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361035027,-0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035032,-0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035037,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035042,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035047,-0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035052,0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035057,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035062,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035067,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035072,-0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035077,-0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361035082,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035087,0.05,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035092,-0.02,0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035097,0.02,0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035102,-0.02,0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035107,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035111,-0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035116,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035122,-0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035127,0.02,0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035132,0.02,0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035137,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035142,0.02,0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361035147,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035152,-0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035156,-0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035162,0.02,0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361035167,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035172,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035177,-0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035182,-0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035187,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035192,0.02,0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361035197,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035202,0.05,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035207,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035211,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035217,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035222,0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035227,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035232,0.02,0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361035237,-0.02,0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361035242,0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035246,0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035252,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035257,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035261,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035266,-0.02,-0.02,-0.08,0.34,-0.85,-0.37,0.1707,3
1772361035271,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035276,0.02,0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035281,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035286,0.02,0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035291,0.05,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035296,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035301,-0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361035306,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035311,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035316,-0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035321,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035326,-0.02,0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035331,-0.02,0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361035336,0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
