Timestamp,LinAccX,LinAccY,LinAccZ,QuatI,QuatJ,QuatK,QuatReal,Label
1772360207249,-0.0,0.01,-0.2,0.07,0.08,-0.06,0.9928,2
1772360207254,0.0,0.01,-0.2,0.07,0.08,-0.06,0.9928,2
1772360207258,-0.04,0.0,-0.16,0.07,0.08,-0.06,0.9928,2
1772360207263,-0.11,0.07,-0.16,0.07,0.08,-0.06,0.9928,2
1772360207268,-0.11,0.07,-0.16,0.07,0.08,-0.06,0.9928,2
1772360207273,-0.19,0.15,-0.13,0.07,0.08,-0.06,0.9928,2
1772360207278,-0.23,0.26,-0.13,0.07,0.08,-0.06,0.9928,2
1772360207283,-0.3,0.3,-0.16,0.07,0.08,-0.06,0.9928,2
1772360207288,-0.3,0.34,-0.2,0.07,0.08,-0.06,0.9928,2
1772360207293,-0.34,0.34,-0.24,0.07,0.08,-0.06,0.9928,2
1772360207299,-0.42,0.37,-0.32,0.07,0.08,-0.06,0.9928,2
1772360207304,-0.46,0.41,-0.36,0.07,0.08,-0.06,0.9928,2
1772360207309,-0.41,0.37,-0.36,0.07,0.08,-0.06,0.9928,2
1772360207314,-0.42,0.34,-0.39,0.07,0.08,-0.06,0.9928,2
1772360207320,-0.45,0.29,-0.39,0.07,0.08,-0.06,0.9928,2
1772360207324,-0.42,0.32,-0.47,0.07,0.08,-0.06,0.9928,2
1772360207329,-0.41,0.32,-0.47,0.07,0.08,-0.06,0.9928,2
1772360207334,-0.38,0.31,-0.47,0.07,0.08,-0.06,0.9928,2
1772360207339,-0.34,0.3,-0.43,0.07,0.08,-0.06,0.9928,2
1772360207344,-0.3,0.33,-0.39,0.07,0.08,-0.06,0.9928,2
1772360207349,-0.3,0.25,-0.27,0.07,0.08,-0.06,0.9928,2
1772360207354,-0.27,0.16,-0.16,0.07,0.08,-0.06,0.9928,2
1772360207359,-0.2,0.15,-0.04,0.07,0.08,-0.06,0.9928,2
1772360207364,-0.2,0.11,0.04,0.07,0.08,-0.06,0.9928,2
1772360207369,-0.13,0.07,0.23,0.07,0.08,-0.06,0.9928,2
1772360207374,-0.09,0.07,0.3,0.07,0.08,-0.06,0.9928,2
1772360207379,-0.05,0.02,0.38,0.07,0.08,-0.06,0.9928,2
1772360207384,-0.05,0.02,0.45,0.07,0.08,-0.06,0.9928,2
1772360207389,-0.06,0.06,0.42,0.07,0.08,-0.06,0.9928,2
1772360207394,-0.06,0.06,0.42,0.07,0.08,-0.06,0.9928,2
1772360207399,-0.02,0.1,0.38,0.07,0.08,-0.06,0.9928,2
1772360207404,-0.02,0.18,0.26,0.07,0.08,-0.06,0.9928,2
1772360207409,0.02,0.18,0.23,0.07,0.08,-0.06,0.9928,2
1772360207414,0.09,0.14,0.15,0.07,0.08,-0.06,0.9928,2
1772360207419,0.24,-0.02,0.19,0.07,0.08,-0.06,0.9928,2
1772360207424,0.32,-0.13,0.3,0.07,0.08,-0.06,0.9928,2
1772360207429,0.31,-0.25,0.42,0.07,0.08,-0.06,0.9928,2
1772360207434,0.35,-0.36,0.61,0.07,0.08,-0.06,0.9928,2
1772360207439,0.41,-0.54,0.79,0.07,0.08,-0.06,0.9928,2
1772360207444,0.45,-0.57,0.91,0.07,0.08,-0.06,0.9928,2
1772360207449,0.45,-0.57,0.98,0.07,0.08,-0.06,0.9928,2
1772360207454,0.33,-0.41,1.06,0.07,0.08,-0.06,0.9928,2
1772360207459,0.25,-0.36,0.98,0.07,0.08,-0.06,0.9928,2
1772360207464,0.14,-0.19,0.86,0.07,0.08,-0.06,0.9928,2
1772360207469,0.02,-0.11,0.75,0.07,0.08,-0.06,0.9928,2
1772360207474,-0.17,0.09,0.36,0.07,0.08,-0.06,0.9928,2
1772360207479,-0.27,0.18,0.13,0.07,0.08,-0.06,0.9928,2
1772360207484,-0.38,0.22,-0.1,0.07,0.08,-0.06,0.9928,2
1772360207489,-0.61,0.29,-0.56,0.07,0.08,-0.06,0.9928,2
1772360207494,-0.67,0.39,-0.7,0.07,0.08,-0.06,0.9928,2
1772360207499,-0.77,0.49,-0.86,0.07,0.08,-0.06,0.9928,2
1772360207504,-0.99,0.73,-1.04,0.07,0.08,-0.06,0.9928,2
1772360207509,-1.1,0.81,-1.11,0.07,0.08,-0.06,0.9928,2
1772360207514,-1.2,0.96,-1.21,0.07,0.08,-0.06,0.9928,2
1772360207519,-1.27,1.07,-1.32,0.07,0.08,-0.06,0.9928,2
1772360207524,-1.45,1.06,-1.51,0.07,0.08,-0.06,0.9928,2
1772360207529,-1.56,0.79,-1.57,0.07,0.08,-0.06,0.9928,2
1772360207534,-1.55,0.32,-1.72,0.07,0.08,-0.06,0.9928,2
1772360207539,-1.62,-0.02,-2.29,0.07,0.08,-0.06,0.9928,2
1772360207544,-1.62,-0.13,-2.51,0.07,0.08,-0.06,0.9928,2
1772360207549,-1.7,-0.31,-2.81,0.07,0.08,-0.06,0.9928,2
1772360207554,-1.69,-0.41,-3.15,0.07,0.08,-0.06,0.9928,2
1772360207559,-1.49,-0.44,-3.8,0.07,0.08,-0.06,0.9928,2
1772360207564,-1.46,-0.49,-4.14,0.07,0.08,-0.06,0.9928,2
1772360207569,-1.39,-0.66,-4.4,0.07,0.08,-0.06,0.9928,2
